Company,CrunchBase Profile,Image,Tagline,Year Founded,Market Categories,Address (HQ),City (HQ),State / Region (HQ),Country (HQ),Description,Homepage,Twitter,Acquired by,Acquisitions ID,API
Farecast,http://www.crunchbase.com/organization/farecast,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180405/74503ba513efe22167f3eee75fa839af.png",Farecast is an online service that provides users with intelligent airfare predictions.,2003.0,"Transportation, Travel, Finance","200 West Thomas Street, Suite 300, Seattle, Washington, United States",Seattle,Washington,United States,"Farecast offers a unique service by providing its users with intelligent airfare predictions.  Founded in 2003, Farecast has since gained very healthy funding from several venture funds totaling $20.6 million.  Unlike other travel companies, Farecast predicts when a user should buy a ticket based upon 175 billion points of previous airfare data.  Its engine can currently predict whether airfare goes up or down up to a week into the future with a claimed success rate of 70-75%.  While Farecast has a lot of competition, they claim it is the only company which can predict future prices.The site has recently expanded to providing the best deals on hotel room as well. Results from travel search sites like ReserveTravel, Orbitz, and CheapTicket, are shown on a map with prices and other hotel information. Farecase gives deal finders an idea if a specific hotel is overpriced or a good deal by marking overpriced hotels blue and attractively-priced hotels red.",http://www.bing.com/travel,http://twitter.com/fareologist,Microsoft,Microsoft acquired Farecast in 2008,http://api.crunchbase.com/v/2/organization/farecast?user_key=0ebdc8274e821149894a240090945265
Fast Search & Transfer,http://www.crunchbase.com/organization/fast-search-transfer,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183826/b64475fba11c7f5e5ce6e44209997be0.gif","Fast offers an enterprise search platform that enables businesses and government organizations to access, retrieve and analyze information.",,Search,"1100 Park Place, Suite 250, San Mateo, California, United States",San Mateo,California,United States,"FAST develops enterprise search technologies and solutions that are behind the scenes at the world's best known companies with the most demanding search problems. FAST's enterprise search platform FAST ESP elevates the search capabilities of enterprise customers and connects people to the relevant information they seek regardless of medium. FAST's solutions are used by more than 2,600 global customers and partners, including America Online AOL, Cardinal Health, CareerBuilder.com, CIGNA, CNET, Dell, Factiva, Fidelity Investments, Findexa, IBM, Knight Ridder, LexisNexis, Overture, Rakuten, Reed Elsevier, Reuters, Sensis, Stellent, Tenet Healthcare, Thomas Industrial Networks, T-Online, US Army, Virgilio Telecom Italia, Vodafone, and Wanadoo.",,,Microsoft,Microsoft acquired Fast Search & Transfer in 2008,http://api.crunchbase.com/v/2/organization/fast-search-transfer?user_key=0ebdc8274e821149894a240090945265
HotMail,http://www.crunchbase.com/organization/hotmail-2,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187671/0707db14fcc04ebebb80fa06c8eaa120.png",The Hotmail web-based email service was founded by Jack Smith and Sabeer Bhatia and launched in July of 1996.,,Email,,,,,"The Hotmail web-based email service was founded by Jack Smith and Sabeer Bhatia and launched in July of 1996. Hotmail was one of the first free webmail services.It was subsequently acquired by Microsoft in 1997 for an estimated $400 million, and rebranded as “MSN Hotmail""",http://HotMail.com,,Microsoft,Microsoft acquired HotMail in 1997,http://api.crunchbase.com/v/2/organization/hotmail-2?user_key=0ebdc8274e821149894a240090945265
jellyfish,http://www.crunchbase.com/organization/jellyfish,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182925/060b809594f1d9396db80eef00165539.png",jellyfish is an online social shopping site that shares at least 50% of the referral fee or commission with the buyer.,2005.0,Social Media,"1600 Aspen Commons, Suite 950, Middleton, Wisconsin, United States",Middleton,Wisconsin,United States,"Social shopping site jellyfish offers a radically new approach to shopping.On the surface, jellyfish appears to be a product search engine that returns lists of rebated items from sellers, ranked according to price, showing buyers the full price of items including the rebate provided by the sellerBut it is jellyfish's business model that sets them apart from all the other fish in the sea sorry for the pun: jellyfish's model is very similar to affiliate ads - a referral fee is paid whenever an item is sold through the site. However, in this case the payment doesn't go to a webmaster for referring the sale - it goes straight to the consumer. In fact, Jellyfish shares at least 50% of the commission with the buyer. In addition, advertisers are ranked by how much they'll pay the customer for buying their product; these discounts can be as high as 24%. There are various online social shopping networks; some include: Kaboodle, Zlio, MyPickList, Wists, and Ideeli.",http://www.jellyfish.com,,Microsoft,Microsoft acquired jellyfish in 2007,http://api.crunchbase.com/v/2/organization/jellyfish?user_key=0ebdc8274e821149894a240090945265
Massive,http://www.crunchbase.com/organization/massive,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187611/968de3d3b080cdf38f4835778a7bdc4e.png",Massive is the developer of video game network for in-game advertising.,,Games,,,,,Massive has developed a leading video game network for in-game advertising.  The company was acquired by Microsoft in May 2006.,http://www.massiveincorporated.com,,Microsoft,Microsoft acquired Massive in 2006,http://api.crunchbase.com/v/2/organization/massive?user_key=0ebdc8274e821149894a240090945265
ODG,http://www.crunchbase.com/organization/odg,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182239/efd86c5a185e3eaf28627234e86cc921.png",Osterhout Design Group ODG specializes in integrating new and emerging technologies to create disruptive product lines.,,,"153 Townsend Street, Suite 570, San Francisco, California, United States",San Francisco,California,United States,Osterhout Design Group ODG specializes in integrating new and emerging technologies to create disruptive product lines.,http://www.osterhoutgroup.com,,Microsoft,Microsoft acquired ODG in 2013,http://api.crunchbase.com/v/2/organization/odg?user_key=0ebdc8274e821149894a240090945265
Parature,http://www.crunchbase.com/organization/parature,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185140/1dcc7e05877212d48c0475fdf396cbeb.png",Parature develops cloud-based customer service software that enables companies to provide on-demand customer service and online support.,2000.0,"Customer Service, Customer Support Tools, Software","13625 –B Dulles Technology Drive, Herndon, Virginia, United States",Herndon,Virginia,United States,"Parature provides on-demand customer service software, making it possible for any business to leverage the Internet to provide outstanding customer service and online support. Parature provides an efficient way to serve, support, retain, engage with and maximize the value of every customer. Parature's software-as-a-service SaaS delivery and integrated, intuitive design enable organizations to run efficiently. Parature's flagship product, Parature Customer Service software, integrates a customer portal, rich knowledgebase and full trouble ticket software in one dynamic system that manages all your support needs.  Parature announced a new social response management product called ""Parature for Facebook"", the Industry's First and Only Customer Service Application for Directly Engaging with Customers, Prospects and Fans on Facebook.  The product now supports Twitter as well.Founded in 2001, today Parature helps support more than 55 million end users worldwide. Parature is at work in a wide variety of organizations including national associations, leading educational institutions, technology companies, and diverse industries from gaming/interactive media entertainment, to retail, healthcare and government.Source: Parature",http://www.parature.com,http://twitter.com/Parature,Microsoft,Microsoft acquired Parature in 2014,http://api.crunchbase.com/v/2/organization/parature?user_key=0ebdc8274e821149894a240090945265
Powerset,http://www.crunchbase.com/organization/powerset,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180250/dc2e5a4e6872fab001a1f3f45880bb23.gif",Powerset is a search engine focused on in-depth natural language processing.,2006.0,Search,"475 Brannan St, San Francisco, California, United States",San Francisco,California,United States,"Powerset is a search engine focused on natural language processing. In other words, Powerset will not search based simply on keywords alone, but will try to understand the semantic meaning behind the search phrase as a whole. The company launched-launches-showcase-for-user-search-experience/ in May 2008 with intentions of making search more easy and intuitive.Powerset was acquired by Microsoft on 1st July 2008.",http://powerset.com,http://twitter.com/Powerset,Microsoft,Microsoft acquired Powerset in 2008,http://api.crunchbase.com/v/2/organization/powerset?user_key=0ebdc8274e821149894a240090945265
Rare,http://www.crunchbase.com/organization/rare-inc,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397195093/2a1b4454558e619eb44736a8c8c0d170.png",Rare formerly RareWare is a video game developer started in the 1970s. Rare was purchased by Microsoft in 2002.,,"Video Games, Software, Games",,,,,Rare formerly RareWare is a video game developer started in the 1970s.  Rare was purchased by Microsoft in 2002.,http://www.rareware.com,,Microsoft,Microsoft acquired Rare in 2002,http://api.crunchbase.com/v/2/organization/rare-inc?user_key=0ebdc8274e821149894a240090945265
Vicinity Corporation,http://www.crunchbase.com/organization/vicinity-corp,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397195092/9a5d31334234311c2619ac541d311355.gif",Vicinity provides technology-based solutions that enable businesses and governments to market the local availability of their products and,,Curated Web,"370 San Aleso Avenue, Sunnyvale, California, United States",Sunnyvale,California,United States,"Vicinity provides technology-based solutions that enable businesses and governments to market the local availability of their products and services. Using Web, wireless and speech platforms, Vicinity offers a portfolio of application services and application programming interfaces APIs that allow enterprises to analyze and direct their customers to a store, branch or outlet near them that offers the specific product or service they are seeking. In October 2002, Vicinity Corporation and Microsoft Corporation entered into a definitive agreement, pursuant to which Microsoft would acquire Vicinity in a transaction valued at approximately $96 million. The transaction was structured as a cash merger, in which Vicinity shareholders would receive $3.33 in cash in exchange for each share of Vicinity common stock.",http://www.vicinity.com,,Microsoft,Microsoft acquired Vicinity Corporation in 2002,http://api.crunchbase.com/v/2/organization/vicinity-corp?user_key=0ebdc8274e821149894a240090945265
